Population
T_cells
B_cells
other
other
B_cells
B_cells
B_cells
B_cells
B_cells
B_cells
other
B_cells
other
other
monocytes
other
other
T_cells
monocytes
T_cells
other
other
other
other
other
other
other
B_cells
monocytes
other
other
other
other
B_cells
other
other
B_cells
B_cells
other
B_cells
other
other
other
other
monocytes
T_cells
other
other
B_cells
other
other
other
other
other
T_cells
other
B_cells
other
other
other
other
other
other
other
B_cells
other
other
other
other
monocytes
other
other
monocytes
monocytes
B_cells
B_cells
B_cells
other
B_cells
other
B_cells
B_cells
T_cells
B_cells
other
other
other
other
other
other
monocytes
other
other
B_cells
other
B_cells
other
monocytes
B_cells
T_cells
other
other
other
T_cells
B_cells
other
other
T_cells
other
B_cells
monocytes
B_cells
other
T_cells
other
other
other
other
monocytes
B_cells
other
other
other
other
other
other
B_cells
monocytes
T_cells
other
other
other
B_cells
other
T_cells
B_cells
other
other
other
monocytes
other
other
other
other
other
other
other
other
other
B_cells
other
other
other
B_cells
other
other
other
monocytes
B_cells
other
monocytes
other
other
other
monocytes
other
other
monocytes
other
T_cells
monocytes
other
monocytes
B_cells
other
other
other
monocytes
other
monocytes
B_cells
other
other
B_cells
B_cells
other
other
other
B_cells
other
other
other
other
other
monocytes
T_cells
other
other
other
other
monocytes
other
other
B_cells
monocytes
other
other
monocytes
other
T_cells
other
other
other
T_cells
other
other
monocytes
other
other
other
other
other
other
other
B_cells
B_cells
T_cells
other
B_cells
other
B_cells
other
other
other
other
other
monocytes
other
other
other
other
other
other
other
other
B_cells
monocytes
other
other
other
other
B_cells
other
other
other
other
other
monocytes
B_cells
other
B_cells
other
other
other
monocytes
other
B_cells
B_cells
other
other
other
T_cells
B_cells
other
other
other
other
B_cells
other
other
other
other
B_cells
other
other
T_cells
monocytes
other
other
other
other
B_cells
other
monocytes
other
other
B_cells
other
B_cells
other
B_cells
B_cells
other
B_cells
other
other
T_cells
other
B_cells
monocytes
other
monocytes
other
other
B_cells
T_cells
other
B_cells
B_cells
monocytes
B_cells
monocytes
other
other
B_cells
other
other
B_cells
other
other
other
other
other
other
other
monocytes
B_cells
B_cells
other
other
other
other
other
other
other
other
other
B_cells
B_cells
B_cells
other
B_cells
other
other
B_cells
B_cells
T_cells
other
other
other
other
other
B_cells
other
other
other
other
other
monocytes
B_cells
B_cells
other
B_cells
other
monocytes
other
other
monocytes
other
B_cells
B_cells
other
B_cells
other
other
monocytes
other
B_cells
monocytes
other
other
other
other
other
other
B_cells
other
other
other
T_cells
other
B_cells
other
other
monocytes
T_cells
B_cells
other
monocytes
other
monocytes
other
other
B_cells
other
B_cells
other
other
other
B_cells
other
other
T_cells
T_cells
T_cells
B_cells
other
T_cells
other
other
other
T_cells
other
monocytes
other
other
B_cells
B_cells
other
other
other
other
monocytes
other
other
other
other
B_cells
other
other
other
T_cells
other
other
other
monocytes
other
other
T_cells
monocytes
other
T_cells
other
B_cells
monocytes
other
T_cells
other
other
other
other
other
other
monocytes
monocytes
other
monocytes
other
other
other
other
other
B_cells
other
other
other
other
other
other
monocytes
monocytes
B_cells
other
T_cells
B_cells
B_cells
B_cells
other
other
other
other
monocytes
other
other
other
B_cells
other
other
B_cells
other
other
other
other
B_cells
B_cells
other
other
other
other
other
monocytes
B_cells
other
other
other
monocytes
other
other
other
other
other
other
other
T_cells
monocytes
B_cells
B_cells
other
other
B_cells
other
other
other
B_cells
other
other
other
monocytes
B_cells
other
other
B_cells
other
other
other
B_cells
other
B_cells
other
other
other
other
B_cells
B_cells
monocytes
other
other
other
monocytes
other
other
B_cells
other
B_cells
other
monocytes
T_cells
B_cells
other
other
other
B_cells
other
B_cells
other
other
other
other
T_cells
other
T_cells
B_cells
B_cells
other
other
other
B_cells
other
other
other
other
other
B_cells
T_cells
other
other
B_cells
monocytes
other
other
T_cells
other
B_cells
other
monocytes
other
other
B_cells
B_cells
other
other
other
other
B_cells
monocytes
monocytes
other
other
other
other
B_cells
